Tube Ice,ទឹកកកអនាម័យ
Block Ice Produce Location,ទីតាំងផលិតទឹកកកដើម
Block Ice Produce Grid, តារាងចំនួនផលិតទឹកកកដើម
Row Number, ចំនួនជួរដេក
Column Number, ចំនួនជួរឈរ
Tube Ice Outlet,កន្លែងលក់ទឹកកកអនាម័យ
Block Ice,ទឹកកកអនាម័យ
Block Ice Outlet,កន្លែងលក់ទឹកកកអនាម័យ
List View, ទិដ្ឋភាពបញ្ជី
View List, មើលបញ្ជី
Weekly,ប្រចាំសប្តាហ៍
Daily,ប្រចាំថ្ងៃ
Daily Expense Chart,តារាងចំណាយប្រចាំថ្ងៃ
Daily Closing Report,របាយការណ៍បិទប្រចាំថ្ងៃ
View Reports,មើលរបាយការណ៍
Closed Selling Date Data,ទិន្នន័យកាលបរិច្ឆេទបិទការលក់
Seller,អ្នកលក់
This coupon code is being use by other transaction. Please try again later.,គូប៉ុងនេះត្រូវបានប្រើក្នុងប្រតិបត្តិការផ្សេង។ សូមព្យាយាមម្តងទៀត។"
Submit,បញ្ជូន
Close Data,បិទទិន្នន័យ
Expense List,បញ្ជីចំណាយ
New Expense,ចំណាយថ្មី
Today Expense,ការចំណាយថ្ងៃនេះ
MTD Expense,ចំណាយខែនេះ
Total Income,ប្រាក់ចំណូលសរុប
Total Expense,ការចំណាយសរុប
Net Profit,ប្រាក់ចំណេញសុទ្ធ
Set Level,កំណត់កម្រិត
Yearly,ប្រចាំឆ្នាំ
Monthly,ប្រចាំខែ
Quarterly,ប្រចាំត្រីមាស
Half-Yearly,ពាក់កណ្តាលឆ្នាំ
Net Profit/Loss,ប្រាក់ចំណេញសុទ្ធ/ខាត
Profit and Loss Statement,របាយការណ៍ប្រាក់ចំណេញ និងខាត
Preview Report,មើលរបាយការណ៍ជាមុន
Create Card,បង្កើតកាត
Set Chart,កំណត់តារាងក្រាហ្វិក
Add Chart to Dashboard,បន្ថែមតារាងក្រាហ្វិកទៅផ្ទាំងគ្រប់គ្រង
Profit and Loss,ប្រាក់ចំណេញ និងខាត
Party Type,Party Type
Party,Party
Row,ជួរ
Value cannot be negative for,តម្លៃមិនអាចជាអវិជ្ជមានសម្រាប់
Party Name,Party Name
Setup Auto Email,កំណត់អ៊ីមែលស្វ័យប្រវត្តិ
Add Column,បន្ថែមជួរឈរ
Reload Report,ផ្ទុករបាយការណ៍ឡើងវិញ
Show Group Accounts,បង្ហាញគណនីក្រុម
Show zero values,បង្ហាញតម្លៃសូន្យ
Voucher No,លេខប័ណ្ណ
Voucher Type,ប្រភេទប័ណ្ណ
Sort Ascending,តម្រៀបឡើង
Sort Descending,តម្រៀបចុះ
Reset sorting,កំណត់តម្រៀបឡើងវិញ
Remove column,លុបជួរឈរ
From Currency,ពីរូបិយប័ណ្ណ
To Currency,ទៅរូបិយប័ណ្ណ
New Sale Payment,ការបង់ប្រាក់លក់ថ្មី
Sale Payment,ការបង់ប្រាក់លក់
Account Paid To,គណនីដែលបានបង់ប្រាក់
Enable Multiple Payment Type,អនុញ្ញាតប្រភេទការបង់ប្រាក់ច្រើន
Payment From,ទទួលប្រាក់ពី
Account Paid From,គណនីដែលបានបង់ពី
Write off Account,គណនីកាត់ចោល
Payment Infomation,ព័ត៌មានការបង់ប្រាក់
